symbol,sector,industry,exchange,market_cap_B
BMO,Financial Services,Banks - Diversified,NYQ,90.75
ICE,Financial Services,Financial Data & Stock Exchanges,NYQ,90.24
BP,Energy,Oil & Gas Integrated,NYQ,89.69
AMT,Real Estate,REIT - Specialty,NYQ,89.68
MMM,Industrials,Conglomerates,NYQ,89.51
BMY,Healthcare,Drug Manufacturers - General,NYQ,89.21
RBLX,Communication Services,Electronic Gaming & Multimedia,NYQ,88.53
GSK,Healthcare,Drug Manufacturers - General,NYQ,88.36
BAM,Financial Services,Asset Management,NYQ,87.79
MCO,Financial Services,Financial Data & Stock Exchanges,NYQ,87.56
SNOW,Technology,Software - Application,NYQ,87.39
WM,Industrials,Waste Management,NYQ,86.47
NOC,Industrials,Aerospace & Defense,NYQ,86.43
SNPS,Technology,Software - Infrastructure,NMS,86.22
RCL,Consumer Cyclical,Travel Services,NYQ,85.96
RELX,Industrials,Specialty Business Services,NYQ,84.74
SHW,Basic Materials,Specialty Chemicals,NYQ,83.28
MSTR,Technology,Software - Application,NMS,83
ORLY,Consumer Cyclical,Auto Parts,NMS,82.37
EQIX,Real Estate,REIT - Specialty,NMS,82.16
AEM,Basic Materials,Gold,NYQ,82.09
CRH,Basic Materials,Building Materials,NYQ,80.55
CI,Healthcare,Healthcare Plans,NYQ,80.55
BNS,Financial Services,Banks - Diversified,NYQ,80.54
MFG,Financial Services,Banks - Regional,NYQ,80.29
HWM,Industrials,Aerospace & Defense,NYQ,80.02
ECL,Basic Materials,Specialty Chemicals,NYQ,78.63
MDLZ,Consumer Defensive,Confectioners,NMS,78.63
ABNB,Consumer Cyclical,Travel Services,NMS,78.36
CTAS,Industrials,Specialty Business Services,NMS,76.69
TDG,Industrials,Aerospace & Defense,NYQ,76.6
CM,Financial Services,Banks - Diversified,NYQ,76.59
NU,Financial Services,Banks - Regional,NYQ,76.54
NGG,Utilities,Utilities - Regulated Electric,NYQ,76.36
ELV,Healthcare,Healthcare Plans,NYQ,76.08
NET,Technology,Software - Infrastructure,NYQ,75.92
BK,Financial Services,Banks - Diversified,NYQ,75.31
USB,Financial Services,Banks - Regional,NYQ,75.09
GLW,Technology,Electronic Components,NYQ,74.88
EMR,Industrials,Specialty Industrial Machinery,NYQ,74.67
PBR,Energy,Oil & Gas Integrated,NYQ,74.49
UPS,Industrials,Integrated Freight & Logistics,NYQ,73.93
JCI,Industrials,Building Products & Equipment,NYQ,73.91
MAR,Consumer Cyclical,Lodging,NMS,73.65
TRI,Industrials,Specialty Business Services,NMS,73.31
PNC,Financial Services,Banks - Regional,NYQ,73.16
