symbol,sector,industry,market_cap_B,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,bullish_volume_spikes,bearish_volume_spikes,bull_price_above_20ma,bull_price_above_50ma,bull_price_above_200ma,bull_ma_alignment,bull_strong_volume,bull_volume_trend_up,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_higher_highs,bull_obv_uptrend,bear_price_below_20ma,bear_price_below_50ma,bear_price_below_200ma,bear_ma_bearish_alignment,bear_strong_bearish_volume,bear_volume_trend_down,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_lower_lows,bear_obv_downtrend
ERJ,Industrials,Aerospace & Defense,7.53,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
MASI,Healthcare,Medical Devices,9.33,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,1,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
WIW,Financial Services,Asset Management,0.53,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
NML,Financial Services,Asset Management,0.52,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",19.230769230769234,61.53846153846154,-42.30769230769231,1,2,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True
WLDN,Industrials,Engineering & Construction,0.5,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True
MPAA,Consumer Cyclical,Auto Parts,0.13,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
TSAT,Technology,Communication Equipment,0.94,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
SIG,Consumer Cyclical,Luxury Goods,2.58,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True
HSBC,Financial Services,Banks - Diversified,187.01,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",19.230769230769234,61.53846153846154,-42.30769230769231,1,2,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True
BABA,Consumer Cyclical,Internet Retail,234.84,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",19.230769230769234,61.53846153846154,-42.30769230769231,1,2,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True
CANG,Consumer Cyclical,Auto & Truck Dealerships,0.51,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
BXMT,Real Estate,REIT - Mortgage,3.11,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
GCMG,Financial Services,Asset Management,2.53,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,1,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
DGX,Healthcare,Diagnostics & Research,18.04,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
SLM,Financial Services,Credit Services,5.87,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
NMT,Financial Services,Asset Management,0.11,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,0,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
VEEV,Healthcare,Health Information Services,37.87,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,53.84615384615385,-42.30769230769231,1,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True
ZLAB,Healthcare,Biotechnology,2.96,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",19.230769230769234,61.53846153846154,-42.30769230769231,1,2,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True
BZ,Communication Services,Internet Content & Information,5.92,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",11.538461538461538,57.692307692307686,-46.153846153846146,0,0,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,True
LZM,Basic Materials,Other Industrial Metals & Mining,0.47,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False
NWGL,Basic Materials,Lumber & Wood Production,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False
MEIP,Healthcare,Biotechnology,0.02,252,100.0,"MA20, MA50, MA200, RSI, MACD, OBV, Trend",23.076923076923077,69.23076923076923,-46.153846153846146,2,0,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True
